Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Neph Comm and Caring Achievement Measure Rate,Neph Comm and Caring Measure Score,State Average Neph Comm and Caring Measure Score,National Average Neph Comm and Caring Measure Score,Quality of Dialysis Care and Ops Achievement Measure Rate,Quality of Dialysis Care and Ops Measure Score,State Average Quality of Dialysis Care and Ops Measure Score,National Average Quality of Dialysis Care and Ops Measure Score,Providing Info to Patients Achievement Measure Rate,Providing Info to Patients Measure Score,State Average Providing Info to Patients Measure Score,National Average Providing Info to Patients Measure Score,Overall Rating of Neph Achievement Measure Rate,Overall Rating of Neph Measure Score,State Average Overall Rating of Neph Measure Score,National Average Overall Rating of Neph Measure Score,Overall Rating of Dialysis Staff Achievement Measure Rate,Overall Rating of Dialysis Staff Measure Score,State Average Overall Rating of Dialysis Staff Measure Score,National Average Overall Rating of Dialysis Staff Measure Score,Overall Rating of Dialysis Facility Achievement Measure Rate,Overall Rating of Dialysis Facility Measure Score,State Average Overall Rating of Dialysis Facility Measure Score,National Average Overall Rating of Dialysis Facility Measure Score,ICHCAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),State Average ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score
GEM STATE REGIONAL DIALYSIS CENTER,132500,-,2225 TETON PLAZA   SUITE A,IDAHO FALLS,ID,83404,16,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,7,4,No Rate,No Score,7,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,4,7,5
Genesis Services,332734,-,74-07 88TH STREET,GLENDALE,NY,11385,2,ICH CAHPS,62.04%,2,4,4,64.91%,6,4,4,72.71%,0,3,5,50.64%,1,3,4,62.73%,5,4,4,66.51%,4,4,4,3,-,4,5
"Genessee Dialysis, LLC",422679,-,5552 PLATT SPRINGS ROAD,Lexington,SC,29073,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",4,5
GENEVA GENERAL HOSPITAL,332393,330058,196 NORTH STREET - DIALYSIS UNIT,GENEVA,NY,14456,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
"Georgia Kidney Institute, LLC",112887,-,1625 HARDEMAN AVENUE,MACON,GA,31201,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,7",4,5
GHS WESTERN REGIONAL HOME DIALYSIS,232685,-,39525 W 14 MILE RD STE 200,NOVI,MI,48377,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,7",5,5
"Gilwards Dialysis, LLC",452947,-,6018 PARKWAY DR,CORPUS CHRISTI,TX,78414,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
"Glengariff Dialysis Center, LLC",332775,-,141 DOSORIS LANE,GLEN COVE,NY,11542,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",4,5
GLOBAL DIALYSIS PLUS INC,672681,-,12823 CAPRICORN DRIVE,STAFFORD,TX,77477,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5,7",5,5
Gloversville Dialysis Center,332744,-,46 EASTERLY STREET,GLOVERSVILLE,NY,12078,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
GMC OUTPATIENT DIALYSIS UNIT - JUSTIN DRIVE,393518,-,100 JUSTIN DRIVE,Danville,PA,17822,4,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
GOLDTREE KIDNEY CENTER LLC,102861,-,1407 SOUTHEAST GOLDTREE DRIVE STE A,PORT SAINT LUCIE,FL,34952,7,ICH CAHPS,74.64%,8,4,4,73.90%,10,4,4,86.55%,9,4,5,64.20%,5,4,4,83.18%,10,4,4,83.67%,10,4,4,9,-,5,5
Governor Juan F. Luis Hospital and Medical Center,482302,480002,4007 EST DIAMOND RUBY,CHRISTIANSTED,VI,00820,3,ICH CAHPS,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,5,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,4,No Score,"4,6,7",0,5
GRAND CONCOURSE DIALYSIS FACILITY,332642,-,1780 GRAND CONCOURSE,BRONX,NY,10457,2,ICH CAHPS,73.91%,7,4,4,59.62%,3,4,4,70.27%,0,3,5,58.28%,3,3,4,57.70%,3,4,4,55.63%,1,4,4,3,-,4,5
"GRAND DIALYSIS SERVICES, LLC",682643,-,500 N HIATUS ROAD - SUITE 105,Pembroke Pines,FL,33026,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
GRAND PRAIRIE DIALYSIS CENTER INC,452863,-,550 S CARRIER PARKWAY - SUITE 450,GRAND PRAIRIE,TX,75051,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
GRANTS PASS II DIALYSIS,382565,-,1055 REDWOOD AVE,GRANTS PASS,OR,97527,16,ICH CAHPS,66.47%,4,6,4,71.70%,9,6,4,90.21%,10,6,5,58.97%,4,6,4,75.30%,9,6,4,75.97%,7,6,4,7,-,6,5
"Greater Irving II Regional Dialysis Center, LLC",672831,-,1070 N WESTMORELAND ROAD,DALLAS,TX,75211,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
"Greater Irving I Regional Dialysis Center, LLC",672858,-,1950 NE GREEN OAKS BLVD - SUITE 190,ARLINGTON,TX,76006,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
GREATER SOUTHEAST COMMUNITY DIALYSIS CENTER,092505,-,4601 MARTI LUTHER KING JR. AVENUE SOUTHWEST - SUITE A,WASHINGTON,DC,20032,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,2,4,No Score,4,3,5
"GREAT FALLS LIBERTY DIALYSIS, LLC",272512,-,1724 26TH STREET S,GREAT FALLS,MT,59405,16,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,4,5
"GREAT LAKES DIALYSIS, LLC",232614,-,14614 KERCHEVAL ST,DETROIT,MI,48215,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
GREAT LAKES DIALYSIS - MONROE,232533,-,992 S MONROE ST,MONROE,MI,48161,11,ICH CAHPS,50.57%,0,5,4,58.87%,3,5,4,74.87%,1,5,5,28.12%,0,4,4,47.22%,0,5,4,58.89%,2,5,4,1,-,5,5
"GREAT LAKES DIALYSIS WEST, LLC",232695,-,27150 W 8 MILE RD,SOUTHFIELD,MI,48033,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
GREENACRES DIALYSIS CENTER,682541,-,5702 LAKE WORTH ROAD #1,GREENACRES,FL,33463,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
GREENFIELD HS - DEARBORN,232507,-,19001 HUBBARD DR,DEARBORN,MI,48126,11,ICH CAHPS,69.52%,6,5,4,64.55%,6,5,4,79.44%,4,5,5,53.53%,2,4,4,64.63%,5,5,4,65.06%,4,5,4,5,-,5,5
GREENFIELD HS - DETROIT WEST PAVILION,232505,-,2799 W GRAND BLVD,DETROIT,MI,48202,11,ICH CAHPS,60.31%,1,5,4,57.49%,2,5,4,74.14%,1,5,5,52.13%,1,4,4,57.57%,3,5,4,64.77%,4,5,4,2,-,5,5
GREENFIELD HS - EASTPOINTE,232567,-,21400 KELLY RD,EASTPOINTE,MI,48021,11,ICH CAHPS,77.07%,9,5,4,69.89%,8,5,4,80.16%,5,5,5,60.17%,4,4,4,68.83%,7,5,4,77.06%,8,5,4,7,-,5,5
GREENFIELD HS - LIVONIA,232515,-,14555 LEVAN RD,LIVONIA,MI,48154,11,ICH CAHPS,88.11%,10,5,4,73.94%,10,5,4,93.24%,10,5,5,84.90%,10,4,4,78.50%,10,5,4,85.35%,10,5,4,10,-,5,5
GREENFIELD HS - NORTHWEST DETROIT,232544,-,7800 W OUTER DR SUITE L10,DETROIT,MI,48235,11,ICH CAHPS,68.71%,5,5,4,55.18%,1,5,4,74.75%,1,5,5,57.95%,3,4,4,47.49%,0,5,4,49.69%,0,5,4,2,-,5,5
GREENFIELD HS - PONTIAC,232516,-,44200 WOODWARD AVE STE 109,PONTIAC,MI,48341,11,ICH CAHPS,74.04%,8,5,4,64.48%,6,5,4,83.29%,7,5,5,69.23%,7,4,4,65.30%,6,5,4,72.08%,6,5,4,7,-,5,5
GREENFIELD HS - TAYLOR,232510,-,24565 HAIG ROAD,TAYLOR,MI,48180,11,ICH CAHPS,74.45%,8,5,4,68.17%,8,5,4,80.82%,5,5,5,70.92%,8,4,4,68.88%,7,5,4,76.50%,8,5,4,7,-,5,5
GREENFIELD HS - TROY,232506,-,"2050 LIVERNOIS, SUITE A",TROY,MI,48083,11,ICH CAHPS,83.77%,10,5,4,75.94%,10,5,4,81.81%,6,5,5,86.26%,10,4,4,85.15%,10,5,4,86.43%,10,5,4,9,-,5,5
GREENSBORO KIDNEY CENTER,342504,-,2700 HENRY STREET,GREENSBORO,NC,27405,6,ICH CAHPS,74.22%,8,3,4,49.55%,0,3,4,72.23%,1,4,5,65.31%,6,3,4,44.02%,0,3,4,50.58%,0,3,4,3,-,4,5
GREENVILLE DIALYSIS CENTER,342502,-,510 PALADIN DRIVE,GREENVILLE,NC,27834,6,ICH CAHPS,71.32%,6,3,4,61.30%,4,3,4,81.82%,6,4,5,59.76%,4,3,4,54.89%,2,3,4,60.20%,2,3,4,4,-,4,5
"GREENVILLE DIALYSIS CLINIC, LLC",422637,-,220-A HOWE STREET,GREENVILLE,SC,29601,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
GRESHAM DIALYSIS CENTER,382538,-,1360 E POWELL BLVD,GRESHAM,OR,97030,16,ICH CAHPS,86.17%,10,6,4,66.72%,7,6,4,89.74%,10,6,5,79.32%,10,6,4,73.88%,8,6,4,83.11%,10,6,4,9,-,6,5
"Greylock Dialysis, LLC",742552,-,11321 FALLBROOK DR,Houston,TX,77065,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
GUADALUPE KIDNEY DISEASE CL,452722,-,626 MERIDA,SAN ANTONIO,TX,78207,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
GUAM DIALYSIS CENTER-TAMUNING,652500,-,633 GOV CARLOS G CAMACHO ROAD SUITE 106,TAMUNING,GU,96913,17,ICH CAHPS,43.01%,0,0,4,57.00%,2,2,4,71.73%,0,1,5,23.40%,0,0,4,63.45%,5,2,4,59.21%,2,1,4,2,-,1,5
GUAM RENAL CARE,652501,-,"736 ROUTE 4, SUITE 101",SINAJANA,GU,96910,17,ICH CAHPS,44.92%,0,0,4,53.85%,0,2,4,70.37%,0,1,5,31.68%,0,0,4,45.65%,0,2,4,50.12%,0,1,4,0,-,1,5
Gulfgate Kidney Center,672844,-,2916 WOODRIDGE DRIVE,HOUSTON,TX,77087,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,7,5,5
GUNDERSEN LUTHERAN RENAL DIALYSIS - LA CROSSE,522313,520087,1910 SOUTH AVE - HERITAGE BUILDING 2 WEST,LA CROSSE,WI,54601,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5",5,5
GUNDERSEN LUTHERAN RENAL DIALYSIS - ONALASKA,523528,-,3075 SOUTH KINNEY COULEE RD,ONALASKA,WI,54650,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
GUNDERSEN LUTHERAN RENAL DIALYSIS - PRAIRIE DU CHIEN,523500,-,610 E TAYLOR ST,PRAIRIE DU CHIEN,WI,53821,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,7,5,5
GUNDERSEN LUTHERAN RENAL DIALYSIS - TOMAH,523505,-,"505 GOPHER DRIVE, SUITE B",Tomah,WI,54660,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
GUNDERSEN LUTHERAN RENAL DIALYSIS - VIROQUA,523517,-,407 S MAIN ST - STE 300,VIROQUA,WI,54665,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
Hacienda Dialysis Center,052879,-,"2020 S. HACIENDA BLVD., SUITE G",Hacienda Heights,CA,91745,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,4,6,5
HALIFAX COUNTY DIALYSIS CENTER,342619,-,612 MAIN STREET,SCOTLAND NECK,NC,27874,6,ICH CAHPS,80.62%,10,3,4,68.25%,8,3,4,88.08%,10,4,5,70.84%,8,3,4,63.88%,5,3,4,62.90%,3,3,4,7,-,4,5
Hamilton Pk Dialysis Center,312580,-,328 NINTH STREET,JERSEY CITY,NJ,07302,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
Hammond Dialysis Center,152671,-,7 SIBLEY STREET,HAMMOND,IN,46320,9,ICH CAHPS,61.53%,2,4,4,61.81%,4,4,4,84.10%,7,6,5,50.25%,1,4,4,48.55%,0,4,4,72.07%,6,4,4,3,-,5,5
"HAMMOND DIALYSIS CLINIC, LLC",192732,-,42286 VETERANS AVE,HAMMOND,LA,70403,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
Hampshire County Dialysis Center,222537,-,84 CONZ STREET,NORTHAMPTON,MA,01060,1,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
Hapeville Dialysis Center,112822,-,800 VIRGINIA AVE - STE 100,Hapeville,GA,30354,6,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,5,No Rate,0,4,4,No Rate,0,3,4,No Rate,0,4,4,0,-,4,5
HARLEM HOSPITAL,332354,330240,506 LENOX AVENUE - ROOM  18-107 - DIALYSIS UNIT,NEW YORK,NY,10037,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
HARLINGEN DIALYSIS,452817,-,4302 SESAME DRIVE,HARLINGEN,TX,78550,14,ICH CAHPS,69.16%,5,5,4,69.76%,8,4,4,80.16%,5,4,5,63.57%,5,4,4,69.88%,7,4,4,74.97%,7,5,4,6,-,5,5
HARRISON DIALYSIS,042584,-,1409 GLADDEN,HARRISON,AR,72601,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,7,4,5
HASTINGS HEMODIALYSIS CENTER,332715,-,20 FOURTH STREET,MALONE,NY,12953,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
HATTIESBURG CLINIC DIALYSIS,252502,-,5909 HWY 49 - SUITE 10,HATTIESBURG,MS,39402,8,ICH CAHPS,68.26%,5,4,4,66.34%,7,3,4,82.05%,6,3,5,53.39%,2,3,4,51.82%,1,3,4,61.23%,3,3,4,4,-,3,5
HATTIESBURG CLINIC PA,252587,-,6855 LINCOLN ROAD EXT - SUITE 60,HATTIESBURG,MS,39402,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,3,5
HAUPPAUGE DIALYSIS CENTER,332655,-,30 CENTRAL AVENUE,HAUPPAUGE,NY,11788,2,ICH CAHPS,54.99%,0,4,4,56.38%,2,4,4,67.38%,0,3,5,70.34%,8,3,4,58.24%,3,4,4,63.44%,4,4,4,3,-,4,5
"Hawn Dialysis, LLC",312671,-,414 SUMMIT AVENUE,JERSEY CITY,NJ,07306,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,7",5,5
Hawthorn Kidney Center,222503,-,537 FAUNCE CORNER ROAD,DARTMOUTH,MA,02747,1,ICH CAHPS,82.29%,10,5,4,66.09%,7,5,4,82.83%,7,5,5,76.04%,9,5,4,62.00%,5,5,4,71.68%,6,5,4,7,-,5,5
HEARTLAND KIDNEY AND DIALYSIS CENTER,262657,-,833 N BUSINESS 71,NEOSHO,MO,64850,12,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
HEARTLAND KIDNEY CENTER,262650,-,2828 SOUTH GRAND,CARTHAGE,MO,64836,12,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
HEARTLAND MIAMI DX LLP,372536,-,2111 DENVER HARNER DR,MIAMI,OK,74354,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
"Hendrick Dialysis Center, LLC",742556,-,820 N 19TH ST,Abilene,TX,79601,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
Hephzibah Dialysis Clinic LLC,112874,-,2516 TOBACCO RD,HEPHZIBAH,GA,30815,6,ICH CAHPS,61.36%,2,4,4,66.04%,6,4,4,79.68%,4,4,5,40.08%,0,4,4,68.19%,7,3,4,77.09%,8,4,4,5,-,4,5
Herald Square Dialysis LLC,072551,-,ONE HERALD SQUARE - SUITE 100,NEW BRITAIN,CT,06051,1,ICH CAHPS,70.57%,6,4,4,72.56%,10,5,4,90.20%,10,6,5,69.31%,7,3,4,80.01%,10,5,4,91.35%,10,5,4,9,-,5,5
"Heritage Dialysis Center, LLC",222572,-,67 COOPER STREET,AGAWAM,MA,01001,1,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
HESS MEMORIAL HOSPITAL,522328,520109,1050 DIVISION ST,MAUSTON,WI,53948,11,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
HEWELL KIDS KIDNEY CENTER AT ORLANDO HEALTH,102341,100006,92 W MILLER STREET,ORLANDO,FL,32806,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
H. Fuld Capital Health,312315,310092,DIALYSIS UNIT - 750 BRUNSWICK AVE,Trenton,NJ,08638,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
HIDDEN SPRINGS DIALYSIS CTR,042596,-,"""3000 NW """"A"""" STREET - STE 2""",BENTONVILLE,AR,72712,13,ICH CAHPS,No Rate,0,4,4,No Rate,0,3,4,No Rate,0,4,5,No Rate,0,4,4,No Rate,0,3,4,No Rate,0,3,4,0,-,4,5
"Higden Dialysis, LLC",742500,-,9340 HIGHWAY 6 STE 400,MISSOURI CITY,TX,77459,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,9,5,5
High Desert Hemodialysis,052699,-,"1007 W. AVENUE M-14, SUITE B",Palmdale,CA,93551,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,7,6,5
HIGHLANDS DIALYSIS CENTER,102818,-,4245 SUN N LAKE BLVD,SEBRING,FL,33872,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
High Plains Regional Dialysis,172308,171370,220 W 2ND ST,GOODLAND,KS,67735,12,ICH CAHPS,No Rate,0,5,4,No Rate,0,5,4,No Rate,0,6,5,No Rate,0,5,4,No Rate,0,5,4,No Rate,0,4,4,0,-,5,5
HIGH POINT KIDNEY CENTER OF WAKE FOREST UNIVERSITY,342514,-,1900 WESTCHESTER DRIVE,HIGH POINT,NC,27262,6,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,7,4,5
HILLIARD DIALYSIS CENTER LLC,102831,-,551858 US HWY 1 #118,HILLIARD,FL,32046,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
HILO DIALYSIS,122507,-,1384 KINOOLE STREET - BIG ISLAND,HILO,HI,96720,17,ICH CAHPS,70.81%,6,6,4,61.64%,4,6,4,84.77%,8,5,5,60.02%,4,6,4,60.38%,4,6,4,65.64%,4,7,4,5,-,6,5
H.K. FREEDMAN RENAL CENTER,332702,-,91 PLAZA BOULEVARD,PLATTSBURGH,NY,12901,2,ICH CAHPS,65.47%,4,4,4,59.65%,3,4,4,86.98%,9,3,5,63.94%,5,3,4,60.80%,4,4,4,67.20%,5,4,4,5,-,4,5
HOGANSVILLE DIALYSIS CLINIC,112769,-,1002 WILLIAMS ST,HOGANSVILLE,GA,30230,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,7",4,5
HOLLYWOOD DIALYSIS,682555,-,4000 HOLLYWOOD BLVD #175-S,HOLLYWOOD,FL,33021,7,ICH CAHPS,76.27%,9,4,4,68.98%,8,4,4,82.92%,7,4,5,73.58%,9,4,4,72.25%,8,4,4,77.41%,8,4,4,8,-,5,5
HOLLYWOOD RAVENEL DIALYSIS CLINC,422606,-,5953 JACOBS POINT BLVD,RAVENEL,SC,29470,6,ICH CAHPS,62.65%,3,4,4,57.71%,2,4,4,72.07%,0,5,5,50.70%,1,4,4,48.71%,0,4,4,49.52%,0,4,4,1,-,4,5
HOLY CROSS DIALYSIS CENTER - WOODMORE,213503,-,11721 WOODMORE RD   STE 190,MITCHELLVILLE,MD,20721,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
HOLY CROSS HOSPITAL,212310,210004,RENAL DIALYSIS UNIT - 1500 FOREST GLEN RD,SILVER SPRING,MD,20910,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
Holy Cross Renal Center,052558,-,"14901 RINALDI STREET, SUITE 100",Mission Hills,CA,91345,18,ICH CAHPS,74.25%,8,5,4,72.43%,10,6,4,88.67%,10,5,5,66.39%,6,5,4,75.19%,9,6,4,82.39%,9,6,4,9,-,6,5
"HOLY NAME RENAL CARE CENTER, LLC",312618,-,718 TEANECK ROAD,TEANECK,NJ,07666,3,ICH CAHPS,47.62%,0,5,4,55.46%,1,5,4,68.59%,0,5,5,29.69%,0,4,4,50.26%,1,5,4,48.14%,0,5,4,0,-,5,5
