Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2015 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of Ownership Record Update
DAVITA - SELINSGROVE DIALYSIS,392628,,,,1030 NORTH SUSQUEHANNA TRAIL,,SELINSGROVE,PA,17870,4,10,0%,40,0%,40,Achievement,10,97%,39,257,96%,341,Achievement,10,100%,14,147,98%,109,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,76%,42,410,66%,477,Achievement,5,13%,45,378,19%,448,Achievement,7,10,10,10,10,93,No reduction,08/06/1997,DAVITA,11/11/2013
FRESENIUS MEDICAL CARE CAMBRIA,392629,,,,2850 NORTH 21ST STREET,,PHILADELPHIA,PA,19132,4,10,0%,36,0%,39,Achievement,3,89%,51,455,90%,437,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,2,51%,45,465,44%,422,Achievement,7,10%,46,438,10%,374,Achievement,5,10,10,10,10,70,No reduction,08/05/1997,FRESENIUS MEDICAL CARE,03/02/2010
DAVITA - RADNOR DIALYSIS,392630,,,,250 KING OF PRUSSIA ROAD,,RADNOR,PA,19087,4,10,0%,45,0%,47,Achievement,10,97%,47,376,99%,362,Achievement,10,100%,17,128,Insufficient data,77,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,3,56%,47,456,56%,482,Achievement,8,7%,51,435,8%,426,Achievement,6,10,10,10,10,90,No reduction,07/25/1997,DAVITA,04/08/2011
JENNERSVILLE DIALYSIS CENTER,392631,,,,1011 WEST BALTIMORE PIKE,SUITE 107,WEST GROVE,PA,19390,4,10,0%,56,0%,54,Achievement,10,97%,81,692,97%,665,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,68%,68,703,61%,702,Achievement,8,8%,72,669,10%,626,Achievement,8,10,10,10,10,95,No reduction,10/08/1997,DAVITA,11/21/2012
FRESENIUS MEDICAL CARE PENN HILLS,392632,,,,11624 KELEKET DRIVE,,PITTSBURGH,PA,15235,4,10,0%,28,0%,29,Achievement,9,96%,45,335,94%,338,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,4,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,78%,33,336,73%,350,Achievement,7,10%,37,321,18%,321,Achievement,8,10,10,9,10,92,No reduction,10/15/1997,FRESENIUS MEDICAL CARE,04/16/2010
FRESENIUS MEDICAL CARE ALTOONA,392633,,,,1602 NINTH AVENUE,,ALTOONA,PA,16602,4,10,0%,64,1%,67,Achievement,5,91%,94,786,91%,774,Achievement,N/A,Insufficient data,N/A,29,Insufficient data,26,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,10,79%,78,833,82%,827,Achievement,8,8%,85,791,6%,794,Achievement,9,10,10,10,10,85,No reduction,12/08/1997,FRESENIUS MEDICAL CARE,03/08/2013
FRESENIUS MEDICAL CARE CUMBERLAND COUNTY,392634,,,,254 EAST HIGH STREET,,CARLISLE,PA,17013,4,10,0%,21,5%,22,Achievement,5,92%,29,180,90%,160,Achievement,N/A,Insufficient data,N/A,56,Insufficient data,63,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,7,68%,23,220,65%,167,Achievement,8,7%,24,191,15%,142,Achievement,8,10,10,10,10,83,No reduction,03/20/1998,FRESENIUS MEDICAL CARE,03/17/2010
DAVITA - WYNCOTE,392635,,,,"1000 EASTON ROAD, SUITE 250",CEDARBROOK PLAZA,WYNCOTE,PA,19095,4,8,1%,76,0%,86,Achievement,10,97%,95,847,96%,934,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,3,54%,86,921,53%,982,Achievement,10,5%,94,877,9%,925,Achievement,7,10,10,10,10,88,No reduction,03/25/1998,DAVITA,03/07/2013
DCI OF SEVEN FIELDS,392636,,,,201 HIGHPOINTE DRIVE,,SEVEN FIELDS,PA,16046,4,10,0%,20,0%,29,Achievement,6,93%,32,221,95%,278,Achievement,N/A,Insufficient data,N/A,37,Insufficient data,25,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,10,81%,19,203,57%,296,Achievement,6,12%,24,200,24%,263,Achievement,8,10,10,9,10,84,No reduction,06/03/1998,"DIALYSIS CLINIC, INC.",10/21/2009
FRESENIUS MEDICAL CARE GREENE COUNTY,392637,,,,11 INDUSTRIAL PARK ROAD,,CARMICHAELS,PA,15320,4,10,0%,18,0%,26,Achievement,7,94%,27,229,94%,301,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,8,70%,22,235,72%,314,Achievement,5,14%,27,230,14%,293,Achievement,6,10,10,10,10,83,No reduction,06/10/1998,FRESENIUS MEDICAL CARE,12/22/2011
FRESENIUS MEDICAL CARE SLATEBELT,392638,,,,525 EAST WEST STREET,,WIND GAP,PA,18091,4,10,0%,28,0%,26,Achievement,5,91%,50,379,85%,370,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,3,55%,40,392,64%,338,Achievement,4,16%,43,354,10%,320,Achievement,4,10,10,10,10,73,No reduction,06/17/1998,FRESENIUS MEDICAL CARE,10/09/2013
DCI OF NORTH BOROUGH CLINIC,392639,,,,100 SOUTH JACKSON AVENUE,7TH CENTRAL,PITTSBURGH,PA,15202,4,10,0%,14,0%,12,Achievement,1,87%,35,173,87%,148,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,10,77%,21,165,58%,140,Achievement,8,9%,20,124,30%,119,Improvement,9,10,10,10,10,75,No reduction,06/17/1998,"DIALYSIS CLINIC, INC.",01/03/2013
FRESENIUS MEDICAL CARE MONTGOMERY EAST,392640,,,,1350 POWELL STREET,,NORRISTOWN,PA,19401,4,10,0%,48,0%,50,Achievement,9,96%,64,503,94%,593,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,7,66%,53,507,66%,593,Achievement,10,4%,59,467,5%,570,Achievement,9,10,10,10,10,95,No reduction,07/07/1998,FRESENIUS MEDICAL CARE,12/22/2011
DAVITA - WAYNESBURG DIALYSIS,392641,,,,248 ELM DRIVE,,WAYNESBURG,PA,15370,4,N/A,Insufficient data,10,0%,17,N/A,10,99%,18,119,98%,174,Achievement,N/A,Insufficient data,N/A,19,Insufficient data,11,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,9,74%,16,157,77%,185,Achievement,10,4%,17,140,7%,182,Achievement,10,10,10,10,10,100,No reduction,07/29/1998,DAVITA,07/10/2012
FRESENIUS MEDICAL CARE CRANBERRY,392642,,,,5 STREET FRANCIS WAY,,CRANBERRY TOWNSHIP,PA,16066,4,10,0%,15,0%,11,Achievement,3,87%,30,136,82%,135,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,5,61%,18,139,59%,115,Achievement,3,18%,21,113,18%,97,Achievement,4,10,10,9,10,67,No reduction,08/28/1998,FRESENIUS MEDICAL CARE,12/22/2011
DIALYSIS CENTER AT OXFORD COURT,392644,,,,"930 TOWN CENTER DRIVE, SUITE G-100",,LANGHORNE,PA,19047,4,10,0%,12,0%,14,Achievement,10,98%,25,151,97%,178,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,100%,14,135,87%,183,Achievement,10,0%,17,128,4%,161,Achievement,10,10,10,10,10,100,No reduction,09/16/1998,DAVITA,04/09/2010
DCI OF SHENANGO VALLEY,392646,,,,737 BROOKSHIRE DRIVE,,HERMITAGE,PA,16148,4,10,0%,26,0%,21,Achievement,9,96%,32,266,97%,195,Achievement,N/A,Insufficient data,N/A,12,Insufficient data,1,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,7,67%,27,275,56%,214,Achievement,4,17%,29,250,27%,183,Improvement,5,10,10,10,10,85,No reduction,10/26/1998,"DIALYSIS CLINIC, INC.",03/15/2012
FRESENIUS MEDICAL CARE STATE COLLEGE,392647,,,,3901 SOUTH ATHERTON STREET,SUITE 7,STATE COLLEGE,PA,16801,4,10,0%,35,0%,37,Achievement,7,94%,45,440,93%,438,Achievement,N/A,Insufficient data,N/A,25,Insufficient data,32,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,8,71%,40,442,72%,445,Achievement,10,3%,41,430,8%,421,Achievement,9,10,10,10,10,90,No reduction,02/01/1998,FRESENIUS MEDICAL CARE,12/02/2010
US RENAL CARE CHAMBERSBURG,392648,,,,"765 FIFTH AVENUE, SUITE A",PARK FIFTH AVE. PROFESSIONAL CENTER,CHAMBERSBURG,PA,17201,4,10,0%,40,2%,44,Achievement,8,95%,44,353,95%,414,Achievement,N/A,Insufficient data,N/A,86,Insufficient data,68,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,2,51%,42,403,49%,456,Achievement,2,29%,43,377,37%,444,Improvement,2,10,10,10,10,75,No reduction,01/11/1999,"US RENAL CARE, INC.",01/28/2014
"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",392649,,,,709 SOUTH CHESTER ROAD,,SWARTHMORE,PA,19081,4,10,0%,43,0%,40,Achievement,7,94%,57,425,91%,450,Achievement,N/A,Insufficient data,N/A,12,Insufficient data,14,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,5,61%,48,471,45%,452,Achievement,7,10%,52,419,17%,425,Achievement,6,10,10,9,10,82,No reduction,02/02/1999,FRESENIUS MEDICAL CARE,11/13/2013
FRESENIUS MEDICAL CARE MILLERSBURG,392650,,,,75 EVELYN DRIVE,,MILLERSBURG,PA,17061,4,10,0%,14,0%,14,Achievement,5,91%,20,150,91%,155,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,1,39%,17,163,31%,164,Improvement,0,56%,18,152,61%,145,Achievement,0,10,10,9,10,62,No reduction,02/10/1999,FRESENIUS MEDICAL CARE,12/17/2013
FRESENIUS MEDICAL CARE DONORA,392651,,,,470 GALIFFA DRIVE,,DONORA,PA,15033,4,10,0%,21,4%,24,Achievement,8,95%,28,234,96%,269,Achievement,N/A,Insufficient data,N/A,35,Insufficient data,20,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,9,74%,24,246,80%,271,Achievement,10,3%,25,227,2%,263,Achievement,10,10,10,10,10,95,No reduction,05/12/1999,FRESENIUS MEDICAL CARE,10/26/2012
FRESENIUS MEDICAL CARE CITYLINE,392653,,,,2601 NORTH 3RD STREET,SUITE 101,HARRISBURG,PA,17110,4,10,0%,31,0%,26,Achievement,7,94%,44,401,90%,335,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,4,59%,37,406,46%,343,Achievement,5,16%,38,386,30%,310,Improvement,5,10,10,6,10,78,No reduction,07/08/1999,FRESENIUS MEDICAL CARE,04/12/2012
US RENAL CARE HUNTINGDON,392656,,,,820 BRYAN STREET,SUITE 4,HUNTINGDON,PA,16652,4,10,0%,31,0%,30,Achievement,8,95%,41,334,97%,318,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,3,56%,37,387,59%,362,Achievement,0,35%,39,354,26%,346,Achievement,1,10,10,10,10,73,No reduction,11/29/1999,"US RENAL CARE, INC.",08/30/2012
DCI OF PARKS BEND,392657,,,,1143 INDUSTRIAL PARK ROAD,,VANDERGRIFT,PA,15690,4,10,0%,24,0%,22,Achievement,10,97%,35,268,97%,240,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,67%,29,278,63%,256,Achievement,3,17%,31,259,20%,224,Achievement,5,10,10,10,10,88,No reduction,08/25/1999,"DIALYSIS CLINIC, INC.",06/14/2012
FRESENIUS MEDICAL CARE MT. AIRY,392658,,,,10 EAST MORELAND AVENUE,SUITE 300,PHILADELPHIA,PA,19118,4,10,0%,108,0%,102,Achievement,9,96%,127,1126,94%,1042,Achievement,N/A,Insufficient data,N/A,88,93%,85,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,5,61%,115,1183,53%,1082,Achievement,8,8%,122,1097,13%,1013,Achievement,7,10,10,9,10,89,No reduction,12/16/1999,FRESENIUS MEDICAL CARE,07/17/2013
FRESENIUS MEDICAL CARE PALMYRA/LEBANON COUNTY,392659,,,,38-42 NORTH LONDONDERRY SQUARE,ROUTE 422,PALMYRA,PA,17078,4,10,0%,27,4%,24,Achievement,1,74%,39,270,71%,238,Improvement,N/A,Insufficient data,N/A,25,Insufficient data,53,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,2,53%,31,300,49%,245,Achievement,2,22%,30,268,29%,217,Improvement,2,10,10,8,10,56,0.5%,12/31/1999,FRESENIUS MEDICAL CARE,02/21/2014
DCI OF CLARION,392660,,,,65 DOLBY STREET,,CLARION,PA,16214,4,10,0%,16,0%,14,Achievement,10,97%,24,205,95%,230,Achievement,N/A,Insufficient data,N/A,1,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,63%,21,212,72%,226,Achievement,0,30%,22,200,28%,225,Achievement,3,10,10,10,10,83,No reduction,01/07/2000,"DIALYSIS CLINIC, INC.",12/22/2011
BELMONT COURT DIALYSIS - TORRESDALE CAMPUS,392661,,,,1338 BRISTOL PIKE,SUITE 100,BENSALEM,PA,19020,4,10,0%,35,3%,35,Achievement,3,89%,45,332,92%,337,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,0,34%,36,344,44%,351,Achievement,5,14%,41,331,10%,325,Achievement,3,10,10,10,10,65,No reduction,02/02/2000,OTHER CHAIN(number of facilities <20 ),03/08/2013
DAVITA - HOMESTEAD DIALYSIS,392662,,,,207 WEST 7TH AVENUE,,WEST HOMESTEAD,PA,15120,4,10,0%,20,0%,26,Achievement,5,91%,30,233,95%,295,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,10,80%,26,255,74%,316,Achievement,7,10%,27,227,7%,292,Achievement,8,10,10,10,10,83,No reduction,02/16/2000,DAVITA,10/10/2012
FRESENIUS MEDICAL CARE GRADUATE,392663,,,,"1740 SOUTH STREET, SUITE 100",,PHILADELPHIA,PA,19146,4,10,0%,43,0%,43,Achievement,10,97%,55,503,96%,534,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,4,59%,49,526,53%,549,Achievement,10,4%,51,504,3%,533,Achievement,7,10,10,10,10,93,No reduction,02/14/2000,FRESENIUS MEDICAL CARE,12/22/2011
FRESENIUS MEDICAL CARE OLNEY,392664,,,,2154-58 STENTON AVENUE,,PHILADELPHIA,PA,19138,4,10,0%,68,1%,74,Achievement,7,94%,97,826,94%,808,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,5,61%,77,836,61%,837,Achievement,7,9%,82,794,11%,790,Achievement,6,10,10,10,10,83,No reduction,02/23/2000,FRESENIUS MEDICAL CARE,10/12/2012
"RENAL CENTER OF PHILADELPHIA, LLC",392665,,,,"5630 CHESTNUT STREET, 2ND FLOOR",,PHILADELPHIA,PA,19139,4,10,0%,44,0%,48,Achievement,10,98%,59,564,99%,590,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,1,50%,54,574,48%,605,Achievement,10,1%,55,544,2%,594,Achievement,6,10,10,10,10,90,No reduction,03/13/2000,RENAL VENTURES MANAGEMENT,02/26/2014
WARREN DIALYSIS,392666,,,,2 CRESCENT PARK WEST,,WARREN,PA,16365,4,2,4%,22,0%,24,Achievement,8,95%,33,260,95%,278,Achievement,N/A,Insufficient data,N/A,31,Insufficient data,23,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,10,87%,26,264,75%,293,Achievement,6,11%,26,249,20%,277,Achievement,8,10,10,10,10,70,No reduction,03/29/2000,DAVITA,06/21/2012
FRESENIUS MEDICAL CARE SHALER,392669,,,,880 BUTLER STREET,SHALER PLAZA,PITTSBURGH,PA,15223,4,N/A,Insufficient data,8,9%,11,N/A,8,95%,15,111,88%,136,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,8,69%,11,111,57%,127,Achievement,1,33%,12,106,39%,113,Improvement,4,10,10,10,10,70,No reduction,05/31/2000,FRESENIUS MEDICAL CARE,04/16/2010
FRESENIUS MEDICAL CARE NANTICOKE,392670,,,,450 WEST MAIN STREET,,NANTICOKE,PA,18634,4,10,0%,38,0%,38,Achievement,0,82%,54,471,83%,437,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,8,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,9,73%,46,494,76%,456,Achievement,5,14%,49,461,9%,429,Achievement,7,10,10,8,10,66,No reduction,06/02/2000,FRESENIUS MEDICAL CARE,04/12/2012
FRESENIUS MEDICAL CARE LANSDALE,392671,,,,120 MEDICAL CAMPUS DRIVE,,LANSDALE,PA,19446,4,10,0%,50,0%,41,Achievement,9,96%,60,529,98%,471,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,75%,55,559,71%,487,Achievement,10,3%,56,500,4%,480,Achievement,10,10,10,10,10,98,No reduction,05/11/2000,FRESENIUS MEDICAL CARE,01/04/2012
FRESENIUS MEDICAL CARE CAPITAL AREA,392672,,,,1300 LINGLESTOWN ROAD,1ST FLOOR,HARRISBURG,PA,17110,4,10,0%,27,0%,31,Achievement,1,86%,52,377,90%,383,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,10,78%,39,384,72%,386,Achievement,7,9%,41,350,15%,368,Achievement,8,10,10,9,10,72,No reduction,09/27/2000,FRESENIUS MEDICAL CARE,01/04/2012
"DCI RENAL SERVICES OF PITTSBURGH, LLC - NORTH VERSAILLES",392674,,,,613 EAST PITTSBURGH MCKEESPORT BOULEVARD,,NORTH VERSAILLES,PA,15137,4,10,0%,21,0%,25,Achievement,10,97%,27,224,97%,230,Achievement,N/A,Insufficient data,N/A,2,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,9,72%,24,236,67%,269,Achievement,10,2%,25,220,3%,240,Achievement,10,10,10,10,10,100,No reduction,03/26/2001,"DIALYSIS CLINIC, INC.",03/04/2010
"DCI RENAL SERVICES OF PITTSBURGH, LLC - HARMAR VILLAGE",392676,,,,725 FREEPORT ROAD,,CHESWICK,PA,15024,4,10,0%,18,0%,18,Achievement,10,97%,27,220,97%,200,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,8,71%,23,235,74%,196,Achievement,3,17%,23,216,19%,176,Achievement,6,10,10,10,10,90,No reduction,12/11/2000,"DIALYSIS CLINIC, INC.",10/22/2009
BUTLER COUNTY DIALYSIS CENTER,392677,,,,229 WEST DIAMOND STREET,,BUTLER,PA,16001,4,10,0%,39,0%,37,Achievement,10,97%,49,382,96%,394,Achievement,N/A,Insufficient data,N/A,26,Insufficient data,17,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,64%,41,412,69%,402,Achievement,3,17%,43,374,16%,374,Achievement,4,10,10,10,10,85,No reduction,12/13/2000,AMERICAN RENAL ASSOCIATES,09/15/2012
LOCK HAVEN DIALYSIS CLINIC,392678,,,,257 SOUTH HANNA STREET,,LOCK HAVEN,PA,17745,4,10,0%,23,0%,19,Achievement,2,88%,36,266,97%,252,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,6,64%,31,287,70%,260,Achievement,10,1%,30,256,3%,243,Achievement,8,10,8,10,10,74,No reduction,02/19/2001,OTHER CHAIN(number of facilities <20 ),10/03/2013
FRESENIUS MEDICAL CARE EAST HILLS,392680,,,,10922 (REAR) FRANKSTOWN ROAD,,PITTSBURGH,PA,15235,4,10,0%,12,0%,12,Achievement,10,97%,18,111,90%,145,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,100%,13,120,92%,145,Achievement,10,1%,14,105,9%,141,Achievement,10,10,10,8,10,99,No reduction,03/16/2001,FRESENIUS MEDICAL CARE,09/28/2009
DCI OF PUNXSUTAWNEY,392681,,,,158 ELMWOOD DRIVE,,PUNXSUTAWNEY,PA,15767,4,10,0%,16,0%,22,Achievement,10,98%,23,199,86%,207,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,14,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,99%,20,220,77%,222,Achievement,10,0%,21,206,13%,204,Achievement,10,10,10,10,10,100,No reduction,03/20/2002,"DIALYSIS CLINIC, INC.",03/13/2014
DAVITA - HUNTINGDON VALLEY DIALYSIS,392682,,,,769 HUNTINGDON PIKE,,HUNTINGDON VALLEY,PA,19006,4,10,0%,52,2%,46,Achievement,10,98%,66,518,98%,506,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,4,57%,60,578,59%,568,Achievement,5,13%,63,523,9%,394,Achievement,5,10,10,10,10,88,No reduction,06/01/2001,DAVITA,08/09/2012
DCI OF INDIANA,392683,,,,841 HOSPITAL ROAD,SUITE 3500,INDIANA,PA,15701,4,10,0%,38,0%,44,Achievement,10,98%,49,456,95%,516,Achievement,N/A,Insufficient data,N/A,3,Insufficient data,10,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,61%,45,482,69%,526,Achievement,0,26%,51,469,22%,506,Achievement,2,10,10,10,10,80,No reduction,12/17/2001,"DIALYSIS CLINIC, INC.",09/24/2012
WILLIAMSPORT DIALYSIS CLINIC,392684,,,,1660 SYCAMORE ROAD,SUITE B,MONTOURSVILLE,PA,17754,4,10,0%,69,0%,71,Achievement,2,88%,94,755,97%,763,Achievement,0,61%,25,200,84%,157,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,6,64%,78,801,60%,799,Achievement,10,5%,87,765,3%,765,Achievement,8,10,9,10,10,74,No reduction,04/19/2001,OTHER CHAIN(number of facilities <20 ),08/14/2012
FRESENIUS MEDICAL CARE KUTZTOWN,392685,,,,45 CONSTITUTION BOULEVARD,,KUTZTOWN,PA,19530,4,10,0%,13,0%,17,Achievement,8,95%,31,218,98%,240,Achievement,N/A,Insufficient data,N/A,12,Insufficient data,12,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,6,65%,23,221,65%,238,Achievement,3,18%,26,209,6%,231,Achievement,4,10,10,9,10,79,No reduction,05/14/2001,FRESENIUS MEDICAL CARE,04/16/2010
DAVITA - EBENSBURG,392686,,,,"429 MANOR DRIVE, SUITE 6",,EBENSBURG,PA,15931,4,N/A,Insufficient data,8,Insufficient data,6,N/A,10,100%,17,97,97%,77,Achievement,N/A,Insufficient data,N/A,12,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,N/A,Insufficient data,N/A,81,Insufficient data,69,N/A,N/A,Insufficient data,N/A,75,Insufficient data,67,N/A,N/A,10,10,10,10,100,No reduction,05/01/2001,DAVITA,07/29/2013
DAVITA - JOHNSTOWN,392687,,,,344 BUDFIELD STREET,,JOHNSTOWN,PA,15904,4,10,0%,48,0%,56,Achievement,9,96%,64,406,96%,503,Achievement,10,96%,19,152,96%,152,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,8,69%,54,553,66%,597,Achievement,1,21%,60,538,24%,566,Achievement,4,10,10,10,10,83,No reduction,05/01/2001,DAVITA,06/26/2012
THE KIDNEY CENTER OF GREATER HAZLETON,392688,,,,426 AIRPORT ROAD,2 BELTWAY COMMONS,HAZLE TOWNSHIP,PA,18202,4,10,0%,28,0%,28,Achievement,10,97%,41,341,95%,346,Achievement,N/A,Insufficient data,N/A,27,Insufficient data,12,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,3,56%,38,371,54%,379,Achievement,3,25%,41,343,37%,350,Improvement,3,10,10,10,10,83,No reduction,08/13/2001,AMERICAN RENAL ASSOCIATES,01/27/2012
