Provider Number,Network,Facility Name,Address Line 1,Address Line 2,City,State,Zip,County,Phone Number,Profit or Non-Profit,Chain Owned,Chain Organization,ICH-CAHPS date,ICH-CAHPS data availability code,Lower box percent of patients-nephrologists' communication and caring,Middle box percent of patients-nephrologists' communication and caring,Top box percent of patients-nephrologists' communication and caring,Linearized score of nephrologists' communication and caring,Star rating of nephrologists' communication and caring,Lower box percent of patients-quality of dialysis center care and operations,Middle box percent of patients-quality of dialysis center care and operations,Top box percent of patients-quality of dialysis center care and operations,Linearized score of quality of dialysis center care and operations,Star rating of quality of dialysis center care and operations,Lower box percent of patients-providing information to patients ,Top box percent of patients- providing information to patients,Linearized score of providing information to patients,Star rating of providing information to patients,Lower box percent of patients-rating of the nephrologist ,Middle box percent of patients- rating of the nephrologist,Top box percent of patients- rating of the nephrologist,Linearized score of rating of the nephrologist,Star rating of the nephrologist,Lower box percent of patients-rating of the dialysis center staff ,Middle box percent of patients-rating of the dialysis center staff,Top box percent of patients-rating of the dialysis center staff ,Linearized score of rating of the dialysis center staff,Star rating of the dialysis center staff,Lower box percent of patients-rating of the dialysis facility,Middle box percent of patients-rating of the dialysis facility ,Top box percent of patients-rating of the dialysis facility,Linearized score of rating of the dialysis facility,Star rating of the dialysis facility,Total number of completed interviews from the Fall and Spring Surveys,ICH CAHPS Survey of patients' experiences star rating ,ICH-CAHPS survey response rate
442666,08,DAVITA TENNESSEE VALLEY DIALYSIS CENTER,107 WOODLAWN DR,STE 2,JOHNSON CITY,TN,37604,Washington,(423) 926-2976,Profit,Yes,DaVita,16APR2021-07JAN2022,001,18,11,71,83,3,13,15,72,86,4,12,88,88,5,11,14,75,90,4,9,7,84,93,5,8,6,86,92,4,31,4,29
442668,08,DAVITA TN SMOKIE MOUNTAIN DIALYSIS PD,2320 KNOB CREEK ROAD,SUITE 408,JOHNSON CITY,TN,37604,Washington,(423) 232-1969,Profit,Yes,DaVita,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442669,08,DAVITA LIVINGSTON TN DIALYSIS,308 OAK STREET,,LIVINGSTON,TN,38570,Overton,(629) 201-2034,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442670,08,DAVITA KNOXVILLE DIALYSIS,2909 E MAGNOLIA AVENUE,,KNOXVILLE,TN,37914,Knox,(865) 525-7035,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442671,08,DAVITA SMYRNA DIALYSIS,537 STONECREST PKWY,,SMYRNA,TN,37167,Rutherford,(615) 220-3024,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442672,08,DAVITA CLARKSVILLE NORTH DIALYSIS,3071 CLAY LEWIS ROAD,,CLARKSVILLE,TN,37040,Montgomery,(931) 552-0644,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442673,08,FMC NEW MARKET,1030 W US HWY 11E,,NEW MARKET,TN,37820,Jefferson,(865) 475-7524,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442674,08,DAVITA MEMPHIS SOUTHEAST DIALYSIS,1805 MORIAH WOODS BLVD,STE 1,MEMPHIS,TN,38117,Shelby,(901) 685-3192,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442675,08,BIO-MEDICAL APPLICATIONS OF TENNESSEE INC.,193 BROWN JUNCTION ROAD,,CENTERVILLE,TN,37033,Hickman,(931) 729-0810,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442676,08,DAVITA ROCKY TOP DIALYSIS,921 NEW HWY 68,,SWEETWATER,TN,37874,Monroe,(423) 337-5770,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442677,08,DIALYSIS ASSOCIATES LLC,1030 WAR EAGLE DRIVE,,LEWISBURG,TN,37091,Marshall,(931) 359-1940,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442678,08,DAVITA GALLERIA HOME TRAINING DIALYSIS PD,9045 HWY 64,SUITE 102,LAKELAND,TN,38002,Shelby,(901) 213-2955,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442679,08,CHATTANOOGA KIDNEY CENTER NORTH LLC,649 MORRISON SPRINGS ROAD,,CHATTANOOGA,TN,37415,Hamilton,(423) 468-1000,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442680,08,FMC SEVIERVILLE,1210 FOX MEADOWS BLVD.,,SEVIERVILLE,TN,37862,Sevier,(865) 774-0426,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442681,08,DAVITA KNOXVILLE CENTRAL DIALYSIS,9141 CROSS PARK DRIVE,SUITE 102,KNOXVILLE,TN,37923,Knox,(865) 531-4681,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442682,08,DAVITA MEMPHIS DOWNTOWN DIALYSIS PD,2076 UNION AVENUE,,MEMPHIS,TN,38104,Shelby,(901) 725-1169,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442683,08,DAVITA SOMERVILLE DIALYSIS,12475 HWY 64,,SOMERVILLE,TN,38068,Fayette,(901) 466-1919,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442684,08,FMC ELIZABETHTON,1210 MILITIA COURT,,ELIZABETHTON,TN,37643,Carter,(423) 542-8208,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442686,08,DAVITA CLINCH RIVER DIALYSIS,702 NORTH MAIN STREET,,CLINTON,TN,37716,Anderson,(865) 457-1114,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442687,08,KIDNEY CENTER OF CLEVELAND,2253 CHAMBLISS AVENUE,SUITE 201,CLEVELAND,TN,37311,Bradley,(423) 535-9404,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,14,11,75,86,4,11,20,69,86,4,14,86,86,5,5,18,77,91,5,5,20,75,92,5,2,18,80,94,5,50,5,32
442688,08,FMC LAWRENCEBURG,1311 SOUTH LOCUST AVENUE,SUITE 104,LAWRENCEBURG,TN,38464,Lawrence,(931) 762-7194,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442689,08,DAVITA MILLINGTON DIALYSIS,8510 WILKINSVILLE ROAD,SUITE 121,MILLINGTON,TN,38053,Shelby,(901) 873-3302,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442690,08,FMC POWELL,732 E. EMORY RD,,KNOXVILLE,TN,37938,Knox,(865) 947-1700,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,14,4,82,89,5,11,14,75,87,4,13,87,87,5,11,13,76,91,5,4,17,79,93,5,8,10,82,93,5,31,5,36
442691,08,FMC SKYWAY,783 NEW HIGHWAY 68,,SWEETWATER,TN,37874,Monroe,(423) 337-4534,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442692,08,DAVITA CAPEVILLE DIALYSIS LLC,7008 E SHELBY DR,,MEMPHIS,TN,38125,Shelby,(901) 757-5001,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442693,08,FMC MILLINGTON,7840 CHURCH STREET,,MILLINGTON,TN,38053,Shelby,(901) 873-0920,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442694,08,SATELLITE HEALTHCARE OF POPLAR AVENUE LLC,1333 POPLAR AVE,,MEMPHIS,TN,38104,Shelby,(901) 725-0482,Profit,Yes,Satellite Dialysis,16APR2021-07JAN2022,001,10,22,68,85,4,12,25,63,83,4,13,87,87,5,7,31,62,88,4,3,25,72,91,4,3,28,69,91,4,30,4,18
442695,08,SATELLITE HEALTHCARE OF PACE ROAD LLC,4185 PACE RD,,MEMPHIS,TN,38116,Shelby,(901) 345-8649,Profit,Yes,Satellite Dialysis,16APR2021-07JAN2022,001,16,15,69,82,3,20,18,62,79,3,17,83,83,4,12,23,65,84,3,14,47,39,79,2,18,28,54,82,2,33,3,23
442696,08,DAVITA RIPLEY DIALYSIS CENTER,854 HWY 51 S,,RIPLEY,TN,38063,Lauderdale,(731) 221-1883,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442698,08,RAI GALLATIN,270 E MAIN STREET,SUITE 100,GALLATIN,TN,37066,Sumner,(615) 452-0913,Profit,Yes,Diversified Specialty Institutes (DSI),16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442699,08,DAVITA NASHVILLE HOME TRAINING DIALYSIS PD,1919 CHARLOTTE AVE,STE 200,NASHVILLE,TN,37203,Davidson,(615) 329-1162,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442700,08,KINGSTON DIALYSIS,1208 N KENTUCKY ST,,KINGSTON,TN,37763,Roane,(865) 248-8006,Profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442701,08,FMC EAST MEMPHIS HOME THERAPIES,6490 MT. MORIAH EXT,SUITE 201,MEMPHIS,TN,38115,Shelby,(901) 366-2168,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442702,08,FMC MT MORIAH DIALYSIS,6490 MT MORIAH,SUITE 102,MEMPHIS,TN,38115,Shelby,(901) 547-6401,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442703,08,FMC BARTLETT,3348 N GERMANTOWN RD,,MEMPHIS,TN,38133,Shelby,(901) 379-2447,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442704,08,DAVITA MEMPHIS MIDTOWN DIALYSIS,3430 SUMMER AVE,,MEMPHIS,TN,38122,Shelby,(901) 454-0815,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442705,08,RAI LEBANON,1701 W. MAIN STREET,SUITE 101,LEBANON,TN,37087,Wilson,(615) 449-5651,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442707,08,FMC CEDAR BLUFF,431 PARK 40 NORTH BLVD,,KNOXVILLE,TN,37923,Knox,(865) 690-7517,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,17,9,74,84,4,21,10,69,81,3,20,80,80,4,12,14,74,88,4,12,19,69,85,3,12,9,79,88,4,30,4,42
442708,08,DAVITA SPARTA DIALYSIS,150 SAM WALTON DR,SUITE 800,SPARTA,TN,38583,White,(931) 739-3550,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442709,08,DAVITA WOLF RIVER DIALYSIS,7990 TRINITY ROAD,SUITE 101,CORDOVA,TN,38018,Shelby,(901) 751-3120,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442710,08,DAVITA STATE LINE DIALYSIS,2049 E SHELBY DRIVE,,MEMPHIS,TN,38116,Shelby,(901) 348-1931,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442711,08,DAVITA BARTLETT RENAL CENTER,2920 COVINGTON PIKE,,MEMPHIS,TN,38128,Shelby,(901) 248-6020,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442712,08,FMC HENDERSONVILLE,230 NEW SHACKLE ISLAND ROAD,SUITE 200,HENDERSONVILLE,TN,37075,Sumner,(615) 826-5848,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442713,08,KIDNEY CENTER OF HWY 58,4803 HWY 58,SUITE B,CHATTANOOGA,TN,37416,Hamilton,(423) 468-3178,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442714,08,DAVITA SOUTH JACKSON DIALYSIS,46 HARTS BRIDGE ROAD,,JACKSON,TN,38301,Madison,(731) 422-9568,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442715,08,DAVITA ETOWAH DIALYSIS,109 GRADY RD,,ETOWAH,TN,37331,McMinn,(423) 263-3666,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442716,08,DAVITA GREENEVILLE DIALYSIS,110 HERITAGE COURT,,GREENEVILLE,TN,37743,Greene,(423) 639-2110,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442717,08,DIALYSIS ASSOCIATE LLC,5214 HICKORY HOLLOW PARKWAY,,ANTIOCH,TN,37013,Davidson,(615) 731-6368,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442718,08,BIO-MEDICAL APPLICATIONS OF TENNESSEE INC.,6055 PRIMACY PARKWAY,SUITE 125,MEMPHIS,TN,38119,Shelby,(901) 681-4010,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442719,08,KIDNEY CENTER OF MISSIONARY RIDGE LLC,3810 Brainerd Road,,CHATTANOOGA,TN,37411,Hamilton,(423) 486-9510,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,12,6,82,88,5,13,10,77,87,4,15,85,85,5,7,17,76,90,4,5,14,81,93,5,8,5,87,93,5,59,5,26
442720,08,FRESENIUS MEDICAL CARE BARTLETT HOME LLC,"1533 Bonnie Lane, Suite 101",,CORDOVA,TN,38016,Shelby,(901) 624-3833,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442721,08,DAVITA CAMPBELL STATION DIALYSIS,111 S Campbell Station Rd,,Farragut,TN,37934,Knox,(865) 777-2750,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442722,08,DSI MEMPHIS LLC,4711 Neely Road,,MEMPHIS,TN,38109,Shelby,(901) 789-2290,Profit,Yes,Diversified Specialty Institutes (DSI),16APR2021-07JAN2022,001,9,3,88,93,5,8,11,81,90,5,10,90,90,5,10,8,82,92,5,4,16,80,92,5,5,6,89,94,5,30,5,34
442723,08,BIO-MEDICAL APPLICATIONS OF TENNESSEE INC.,2519 E Magnolia Ave,,KNOXVILLE,TN,37914,Knox,(865) 633-6052,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442724,08,FMC SUMMER,4569 Summer Ave,Suite 102,MEMPHIS,TN,38122,Shelby,(901) 767-0118,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442725,08,DIALYSIS CLINIC INC. - WAVERLY,505 West Main Street,,WAVERLY,TN,37185,Humphreys,(931) 296-4667,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442726,08,EAST TENNESSEE DIALYSIS CENTER,1629 East Broadway Avenue,,MARYVILLE,TN,37804,Blount,(865) 681-2900,Profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442727,08,SATELLITE HEALTHCARE SOUTH GERMANTOWN LLC,6548 QUINCE RD,,MEMPHIS,TN,38119,Shelby,(901) 259-3423,Profit,Yes,Satellite Dialysis,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442728,08,BIO-MEDICAL APPLICATIONS OF TENNESSEE,1826 Ailor Avenue,,KNOXVILLE,TN,37921,Knox,(865) 524-5308,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442730,08,SATELLITE HEALTHCARE CHICKASAW GARDENS LLC,2980 POPLAR AVE,SUITE 102,MEMPHIS,TN,38111,Shelby,(901) 531-8850,Profit,Yes,Satellite Healthcare,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442731,08,BIO-MEDICAL APPLICTIONS OF TENNESSEE INC,4601 Quince Road,,MEMPHIS,TN,38117,Shelby,(901) 767-0223,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442732,08,WELLBOUND OF MEMPHIS LLC,780 Truse Pkwy,,MEMPHIS,TN,38117,Shelby,(901) 682-3942,Profit,Yes,Satellite Healthcare,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442733,08,DAVITA MEDINA DIALYSIS,210 GRACE CV,,MEDINA,TN,38355,Gibson,(731) 783-0527,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442734,08,BIO-MEDICAL APPLICATIONS OF TENNESSEE INC,1 MEDICAL PARK BLVD,SUITE 100-E,BRISTOL,TN,37620,Sullivan,(423) 652-0158,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442735,08,FMC SOUTH AIRWAYS LLC,5484 AIRWAYS BLVD,,MEMPHIS,TN,38116,Shelby,(901) 345-5755,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442736,08,SRS-NASHVILLE HH LLC,3900 CLIFTON AVE,,NASHVILLE,TN,37209,Davidson,(615) 988-7881,Profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442737,08,DAVITA INTERSTATE DRIVE DIALYSIS,1843 FOREMAN DRIVE,SUITE B,COOKEVILLE,TN,38501,Putnam,(931) 372-8853,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442738,08,DAVITA MT JULIET DIALYSIS,1050 HERSCHEL DR,,MOUNT JULIET,TN,37122,Wilson,(615) 758-1970,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442739,08,BIO-MEDICAL APPLICATIONS OF TENNESSEE INC,5020 ENGLISH TOWNE DR,,MEMPHIS,TN,38128,Shelby,(901) 266-1551,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442740,08,DAVITA AIRWAYS DIALYSIS,5247 AIRWAYS BLVD,,MEMPHIS,TN,38116,Shelby,(901) 345-0671,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442741,08,DIALYSIS CARE CENTER CROSSVILLE LLC,60 THE CROSSINGS,,CROSSVILLE,TN,38555,Cumberland,(931) 484-3467,Profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442742,08,DAVITA FORT CAMPBELL DIALYSIS,1459 FORT CAMPBELL BLVD,,CLARKSVILLE,TN,37042,Montgomery,(931) 552-6491,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442743,08,DAVITA WOODBINE DIALYSIS,"5209 LINBAR DRIVE, SUITE 605",,NASHVILLE,TN,37211,Davidson,(615) 333-9765,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442744,08,DAVITA BRILEY PARKWAY DIALYSIS,1221 BRIARVILLE RD,,MADISON,TN,37115,Davidson,(615) 865-9363,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442745,08,VANDERBILT UNIVERSITY MEDICAL CENTER,2906 FOSTER CREIGHTON DR,SUITE 100,NASHVILLE,TN,37204,Davidson,(615) 936-8100,Profit,Yes,Other,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442746,08,DIALYSIS CARE CENTER TIPTON COUNTY LLC,1921 HWY US51 S,SUITE F,COVINGTON,TN,38019,Tipton,(901) 313-9030,Profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442747,08,DAVITA RIVER OAKS DIALYSIS,8000 WOLF RIVER BLVD,SUITE 106,GERMANTOWN,TN,38138,Shelby,(901) 757-4809,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442748,08,DAVITA CAHABA DIALYSIS LLC,2926 Lamar Ave,Suite 101,MEMPHIS,TN,38114,Shelby,(901) 743-6507,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442749,08,BIO-MEDICAL APPLICATIONS OF TENNESSEE INC.,324 N PARK 40 BLVD,,KNOXVILLE,TN,37923,Knox,(865) 539-9081,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442750,08,DIALYSIS CLINIC INC,173 Patty Hill Rd,,CARYVILLE,TN,37714,Campbell,(423) 566-1487,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442751,08,DAVITA METRO CENTER DIALYSIS,2292 ROSA L PARKS BLVD,,NASHVILLE,TN,37228,Davidson,(615) 255-0653,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442752,08,FRESENIUS MEDICAL CARE GOODLETTSVILLE LLC,740 CONFERENCE DR,,GOODLETTSVILLE,TN,37072,Davidson,(615) 859-2661,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442753,08,DAVITA SINGELTON FARMS DIALYSIS,4031 AUSTIN PEAY HWY,,MEMPHIS,TN,38128,Shelby,(901) 379-0491,Profit,Yes,Other,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442754,08,DAVITA LEWIS CREEK DIALYSIS,620 MALL BLVD STE E,,DYERSBURG,TN,38024,Dyer,(731) 287-9448,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442755,08,BIO-MEDICAL APPLICATIONS OF TENNESSEE INC.,148 LAKE LN,,Caryville,TN,37714,Campbell,(423) 566-6947,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442756,08,KIDNEY CENTER OF OOLTEWAH-COLLEGEDALE LLC,5483 LITTLE DEBBIE PKWY,,Ooltewah,TN,37363,Hamilton,(423) 541-3450,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442757,08,FRESENIUS MEDICAL CARE COLUMBIA FRANKLIN LLC,8048 STATION HILL DR,,SPRING HILL,TN,37174,Maury,(931) 486-0682,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442758,08,DAVITA FOREMAN DRIVE HOME TRAINING,1843 FOREMAN DR STE 201,,COOKEVILLE,TN,38501,Putnam,(931) 372-2706,Profit,Yes,DaVita,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442759,08,FRESENIUS MEDICAL CARE SANDY RIVER LLC,57 COMMERCE ST,,Paris,TN,38242,Henry,(731) 642-7998,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442760,08,BIO-MEDICAL APPLICATIONS OF TENNESSEE,6085 ARBURY WAY,,OOLTEWAH,TN,37363,Hamilton,(423) 910-0651,Profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442762,08,BIO-MEDICAL APPLICATIONS OF TENNESSEE INC.,"6460 Mt. Moriah Ext, Suite 101",,Memphis,TN,38115,Shelby,(901) 566-0471,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442763,08,DIALYSIS CLINIC INC,5653 FRIST BLVD STE 334,,HERMITAGE,TN,37076,Davidson,(615) 902-7036,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442764,08,PURE LIFE RENAL OF COOL SPRINGS LLC,1648 WESTGATE CIR STE 100,,BRENTWOOD,TN,37027,Williamson,(615) 398-0100,Profit,Yes,Other,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442765,08,DAVITA MATTAPAN DIALYSIS LLC,5144 RIVERDALE RD STE 103,,MEMPHIS,TN,38141,Shelby,(901) 752-5425,Profit,Yes,DaVita,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442766,08,AVAIL SOUTHEAST KIDNEY CARE LLC,2008 BROOKSIDE DR,,KINGSPORT,TN,37660,Sullivan,(423) 343-5734,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442767,08,FRESENIUS MEDICAL CARE COOKEVILLE LLC,115 N HICKORY AVE STE 100,,COOKEVILLE,TN,38501,Putnam,(931) 650-6217,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
