Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Address 1,Address 2,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,Number of Patients Included in VAT Catheter Measure Score Achievement Period,VAT Catheter Achievement Period Numerator,VAT Catheter Achievement Period Denominator,VAT Catheter Improvement Measure Rate,VAT Catheter Improvement Period Numerator,VAT Catheter Improvement Period Denominator,VAT Catheter Measure Score Applied,VAT Fistula Measure Score,VAT Fistula Achievement Measure Rate,Number of Patients Included in VAT Fistula Measure Score Achievement Period,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Improvement Measure Rate,VAT Fistula Improvement Period Numerator,VAT Fistula Improvement Period Denominator,VAT Fistula Measure Score Applied,VAT Combined Measure Score,National Avg VAT Combined Measure Score,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Hemodialysis Measure Score Achievement Period,Kt/V Adult Hemodialysis Achievement Period Numerator,Kt/V Adult Hemodialysis Achievement Period Denominator,Kt/V Adult Hemodialysis Improvement Measure Rate,Kt/V Adult Hemodialysis Improvement Period Numerator,Kt/V Adult Hemodialysis Improvement Period Denominator,Kt/V Adult Hemodialysis Measure Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Peritoneal Dialysis Measure Score Achievement Period,Kt/V Adult Peritoneal Dialysis Achievement Period Numerator,Kt/V Adult Peritoneal Dialysis Achievement Period Denominator,Kt/V Adult Peritoneal Dialysis Improvement Measure Rate,Kt/V Adult Peritoneal Dialysis Improvement Period Numerator,Kt/V Adult Peritoneal Dialysis Improvement Period Denominator,Kt/V Adult Peritoneal Dialysis Measure Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Pediatric Hemodialysis Measure Score Achievement Period,Kt/V Pediatric Hemodialysis Achievement Period Numerator,Kt/V Pediatric Hemodialysis Achievement Period Denominator,Kt/V Pediatric Hemodialysis Improvement Measure Rate,Kt/V Pediatric Hemodialysis Improvement Period Numerator,Kt/V Pediatric Hemodialysis Improvement Period Denominator,Kt/V Pediatric Hemodialysis Measure Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Achievement Measure Rate,Number of Patients Included in Hypercalcemia Measure Score Achievement Period,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Improvement Measure Rate,Hypercalcemia Improvement Period Numerator,Hypercalcemia Improvement Period Denominator,Hypercalcemia Measure Score Applied,NHSN Measure Score,NHSN Achievement Measure Ratio,Number of Patients Included in NHSN Measure Score Achievement Period,NHSN Observed Achievement Period Numerator,NHSN Predicted Achievement Period Denominator,NHSN Improvement Measure Ratio,NHSN Observed Improvement Period Numerator,NHSN Predicted Improvement Period Denominator,NHSN Measure Score Applied,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,SRR Measure Score,SRR Achievement Measure Ratio,SRR Index Discharges,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,Total Performance Score,PY2017 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2015",Date of Ownership Record Update
DAVITA TENNESSEE VALLEY DIAL CNTR,442666,-,107 WOODLAWN DR,SUITE 100,JOHNSON CITY,TN,37604,8,7,8%,39,24,295,9%,33,351,Achievement,0,48%,35,154,324,59%,228,388,Achievement,4,6,7,97%,41,249,256,99%,301,305,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,74,2,563,0%,2,566,Achievement,7,0.438,110,2,4.566,0.488,2,4.096,Achievement,No Score,8,10,0,1.39,140,61,43.77,1.35,56,41.38,Achievement,62,No Reduction,1/31/2007,DAVITA,1/23/2007
HARPETH DIALYSIS CLINIC,442667,-,254 BEASLEY DRIVE,-,DICKSON,TN,37055,8,7,12%,13,18,73,37%,37,101,Improvement,No Score,No Rate,<11,,,17%,,,N/A,7,6,8,98%,11,76,80,96%,91,95,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,10,0%,13,0,117,1%,1,107,Achievement,0,2.414,27,2,0.829,2.1,3,1.428,Achievement,No Score,10,10,10,0.25,17,1,4.01,1.18,12,10.19,Achievement,76,No Reduction,2/21/2007,NOT A CHAIN,2/8/2007
TN SMOKIE MOUNTAIN DIALYSIS,442668,-,101 MED TECH PARKWAY,SUITE 406,JOHNSON CITY,TN,37604,8,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,10,97%,27,179,185,97%,179,184,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,42,0,350,0%,0,320,Achievement,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,5,10,0,1.57,37,16,9.43,1.17,12,10.29,Achievement,66,No Reduction,3/8/2007,DAVITA,3/1/2012
LIVINGSTON TN DIALYSIS,442669,-,308 OAK STREET,-,LIVINGSTON,TN,38570,8,8,5%,30,14,264,13%,33,261,Achievement,10,80%,28,220,275,75%,208,279,Achievement,9,6,9,99%,29,251,253,98%,259,263,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,33,2,302,0%,0,298,Achievement,1,1.705,43,3,1.76,0.965,2,2.073,Achievement,No Score,9,10,8,0.76,47,10,13.11,1.62,22,13.62,Achievement,76,No Reduction,4/23/2007,DAVITA,4/21/2007
DAVITA DIALYSIS,442670,-,2909 E MAGNOLIA AVENUE,-,KNOXVILLE,TN,37914,8,7,8%,48,35,446,6%,24,428,Achievement,6,68%,45,318,469,67%,301,449,Achievement,7,6,7,97%,48,419,431,97%,410,424,Achievement,10,97%,12,90,93,94%,118,125,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,78,8,738,2%,13,756,Achievement,1,2.93,104,9,3.072,3.404,12,3.525,Improvement,10,9,10,1,1.23,96,32,26.02,1.37,37,26.96,Achievement,60,No Reduction,10/29/2007,DAVITA,5/1/2012
DAVITA SMYRNA,442671,-,537 STONECREST PKWY,SUITE 110,SMYRNA,TN,37167,8,10,3%,21,5,194,5%,11,204,Achievement,3,60%,20,111,207,67%,150,223,Achievement,7,6,8,98%,24,200,204,95%,200,210,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,6,2%,34,7,303,1%,3,240,Achievement,7,0.598,55,1,1.673,0.74,1,1.351,Achievement,No Score,8,10,10,0.62,30,4,6.43,0.71,4,5.67,Achievement,80,No Reduction,10/17/2007,DAVITA,10/12/2007
CLARKSVILLE NORTH DIALYSIS,442672,-,3071 CLAY LEWIS ROAD,-,CLARKSVILLE,TN,37040,8,5,10%,47,39,399,6%,27,459,Achievement,1,55%,39,227,414,55%,269,490,Achievement,3,6,5,95%,49,344,362,97%,448,460,Achievement,10,97%,14,90,93,96%,64,67,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,83,10,755,0%,3,783,Achievement,5,0.833,124,3,3.602,1.47,5,3.402,Achievement,No Score,9,10,3,1.06,68,19,17.89,1.01,17,16.76,Achievement,60,No Reduction,11/26/2007,DAVITA,11/1/2007
FMC NEW MARKET,442673,-,1030 W US HWY 11E,-,NEW MARKET,TN,37820,8,8,5%,29,11,222,9%,20,234,Achievement,7,70%,27,179,255,78%,205,263,Achievement,8,6,3,93%,32,221,237,91%,211,231,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,3,7,8,1%,59,6,523,3%,14,446,Achievement,4,1.339,88,5,3.734,2.656,10,3.764,Improvement,10,8,10,0,1.34,68,24,17.92,1.12,23,20.57,Achievement,56,0.50%,1/24/2008,FRESENIUS MEDICAL CARE,12/27/2007
DAVITA MEMPHIS SOUTHEAST,442674,-,1805 MORIAH WOODS BLVD,SUITE 101,MEMPHIS,TN,38117,8,3,15%,77,106,684,21%,145,684,Improvement,7,70%,71,512,734,64%,479,754,Achievement,5,6,8,98%,75,650,660,99%,701,709,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,103,7,978,1%,9,944,Achievement,6,0.766,145,5,6.53,0.618,5,8.09,Achievement,10,10,10,5,0.97,97,22,22.65,0.78,18,23.12,Achievement,72,No Reduction,4/7/2008,DAVITA,4/3/2008
"BIO-MEDICAL APPLICATIONS OF TENNESSEE, INC.",442675,-,193 BROWN JUNCTION ROAD,-,CENTERVILLE,TN,37033,8,10,2%,18,3,152,5%,7,151,Achievement,10,95%,16,158,166,84%,134,159,Achievement,10,6,7,97%,19,155,162,97%,138,142,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,28,1,257,1%,2,231,Achievement,0,2.421,33,3,1.239,0,0,1.276,Achievement,No Score,10,10,5,1.02,32,9,8.52,1.52,14,9.2,Improvement,71,No Reduction,8/25/2008,FRESENIUS MEDICAL CARE,8/14/2008
ROCKY TOP DIALYSIS,442676,-,921 NEW HWY 68,-,SWEETWATER,TN,37874,8,2,15%,31,40,267,19%,51,275,Achievement,3,53%,33,149,281,42%,129,308,Improvement,2,6,8,98%,32,264,269,97%,263,271,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,59,5,480,1%,3,481,Achievement,3,1.29,67,4,3.1,2.088,7,3.353,Achievement,No Score,10,10,10,0.3,46,4,13.44,1.01,21,20.85,Achievement,71,No Reduction,9/22/2008,DAVITA,5/1/2012
FMC LEWISBURG,442677,-,1030 WAR EAGLE DRIVE,-,LEWISBURG,TN,37091,8,5,10%,37,35,347,13%,37,291,Achievement,6,67%,36,248,372,57%,177,311,Achievement,5,6,5,95%,38,327,344,93%,264,283,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,10,0%,48,1,448,0%,0,393,Achievement,10,0,62,0,3.33,0.707,2,2.83,Achievement,No Score,10,10,7,0.8,68,17,21.33,1.21,25,20.7,Achievement,79,No Reduction,8/27/2008,FRESENIUS MEDICAL CARE,5/12/2012
MEMPHIS GALLERIA HOMETRAINING,442678,-,9045 HWY 64,SUITE 102,LAKELAND,TN,38002,8,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,10,96%,35,244,254,95%,248,262,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,56,0,462,0%,0,430,Achievement,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,7,9,8,0.8,28,5,5.68,1.62,9,5.56,Improvement,89,No Reduction,11/17/2008,DAVITA,10/21/2008
"CHATTANOOGA KIDNEY CENTER NORTH, LLC",442679,-,649 MORRISON SPRINGS ROAD,-,CHATTANOOGA,TN,37415,8,4,13%,81,98,740,12%,82,683,Achievement,7,70%,76,546,775,73%,546,745,Achievement,5,6,6,96%,82,703,731,93%,638,684,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,10,0%,99,0,951,0%,3,897,Achievement,6,0.783,117,6,7.662,0.71,5,7.047,Achievement,10,10,10,10,0.52,90,12,23.12,1.02,20,19.52,Achievement,79,No Reduction,11/3/2008,NOT A CHAIN,10/21/2008
FMC SEVIERVILLE,442680,-,1210 FOX MEADOWS BLVD.,-,SEVIERVILLE,TN,37862,8,2,15%,34,45,293,14%,30,210,Achievement,4,64%,35,216,337,66%,162,247,Achievement,3,6,5,95%,37,287,301,96%,201,210,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,10,0%,53,1,460,1%,4,333,Achievement,5,0.955,607,4,4.186,No Rate,,N/A,Achievement,10,7,9,6,0.9,59,13,14.39,0.69,9,12.99,Achievement,63,No Reduction,12/3/2008,FRESENIUS MEDICAL CARE,12/2/2008
KNOXVILLE CENTRAL DIALYSIS,442681,-,9141 CROSS PARK DRIVE,SUITE 102,KNOXVILLE,TN,37923,8,10,1%,28,3,258,3%,7,226,Achievement,10,82%,28,234,287,77%,185,241,Achievement,10,6,10,100%,19,179,179,98%,190,193,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,6,2%,46,9,418,0%,1,400,Achievement,6,0.771,48,1,1.297,0.545,1,1.835,Achievement,No Score,5,10,7,0.84,41,9,10.67,0.63,7,11.04,Achievement,78,No Reduction,12/17/2008,DAVITA,12/13/2008
DAVITA MEMPHIS DOWNTOWN,442682,-,2076 UNION AVENUE,-,MEMPHIS,TN,38104,8,0,21%,36,70,326,20%,68,338,Achievement,7,70%,35,242,348,63%,217,347,Achievement,3,6,8,98%,32,305,310,95%,315,331,Achievement,10,96%,18,129,136,94%,178,189,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,84,9,794,1%,4,752,Achievement,8,0.27,62,1,3.708,0.497,2,4.022,Achievement,No Score,9,10,4,1.13,90,21,18.62,1.46,29,19.8,Improvement,71,No Reduction,12/17/2008,DAVITA,12/2/2008
DAVITA SOMERVILLE,442683,-,12475 HWY 64,-,SOMERVILLE,TN,38068,8,9,4%,31,12,293,5%,16,296,Achievement,9,77%,28,237,308,75%,234,313,Achievement,9,6,9,99%,30,284,286,98%,271,276,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,50,3,484,0%,0,457,Achievement,8,0.393,63,1,2.543,0.77,2,2.597,Achievement,10,9,10,3,1.07,47,12,11.23,1.24,15,12.12,Achievement,79,No Reduction,2/6/2009,DAVITA,2/25/2015
FMC ELIZABETHTON,442684,-,1210 MILITIA COURT,-,ELIZABETHTON,TN,37643,8,3,14%,24,38,251,16%,45,285,Achievement,4,63%,25,167,266,68%,208,304,Achievement,4,6,6,96%,29,227,237,95%,251,265,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,10,0%,54,1,497,4%,20,497,Achievement,0,3.217,77,13,4.041,0.249,1,4.024,Achievement,No Score,8,10,3,1.13,73,26,22.99,1.37,30,21.82,Improvement,54,0.50%,12/31/2008,FRESENIUS MEDICAL CARE,11/4/2008
CLINCH RIVER DIALYSIS,442686,-,702 NORTH MAIN STREET,-,CLINTON,TN,37716,8,8,5%,23,11,196,19%,33,171,Achievement,9,78%,20,157,202,64%,122,192,Achievement,8,6,9,99%,25,198,200,100%,176,176,Achievement,10,97%,11,84,88,93%,97,104,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,47,1,415,2%,5,316,Achievement,7,0.456,49,1,2.191,0.832,2,2.404,Achievement,No Score,9,10,7,0.8,47,10,12.48,0.78,17,21.69,Achievement,84,No Reduction,5/29/2009,DAVITA,5/1/2012
KIDNEY CENTER OF CLEVELAND,442687,-,2253 CHAMBLISS AVENUE,SUITE 201,CLEVELAND,TN,37311,8,6,9%,94,72,814,11%,75,684,Achievement,7,70%,89,635,907,74%,530,721,Achievement,6,6,9,99%,101,837,845,100%,697,699,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,114,1,1061,1%,8,996,Achievement,9,0.145,134,1,6.892,0.141,1,7.077,Achievement,10,10,10,6,0.91,118,28,30.89,0.8,19,23.74,Achievement,84,No Reduction,6/22/2009,NOT A CHAIN,5/2/2009
FMC LAWRENCEBURG,442688,-,1311 SOUTH LOCUST AVENUE,SUITE 104,LAWRENCEBURG,TN,38464,8,7,7%,53,29,409,6%,23,360,Achievement,8,75%,43,319,427,80%,336,418,Achievement,7,6,7,97%,52,368,380,95%,364,385,Achievement,9,93%,11,64,74,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,74,7,588,4%,22,591,Achievement,4,1.191,78,4,3.36,0,0,3.299,Achievement,No Score,9,10,6,0.92,48,13,14.1,0.88,15,17.06,Achievement,71,No Reduction,7/15/2009,FRESENIUS MEDICAL CARE,7/2/2009
DAVITA MILLINGTON,442689,-,8510 WILKINSVILLE ROAD,SUITE 121,MILLINGTON,TN,38053,8,4,12%,31,34,273,15%,42,272,Achievement,8,73%,29,215,293,72%,211,294,Achievement,6,6,8,98%,32,254,259,95%,239,252,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,10,0%,45,2,424,0%,1,425,Achievement,8,0.348,52,1,2.875,0.661,2,3.028,Achievement,No Score,10,10,4,1.02,80,19,18.61,1.17,19,16.19,Achievement,77,No Reduction,10/20/2009,DAVITA,10/10/2009
FMC POWELL,442690,-,732 E. EMORY RD,-,KNOXVILLE,TN,37938,8,8,6%,54,27,451,5%,20,414,Achievement,7,72%,48,348,484,68%,309,452,Achievement,8,6,8,98%,53,405,413,95%,373,394,Achievement,9,94%,20,145,157,89%,121,136,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,112,14,982,4%,34,922,Achievement,8,0.376,117,2,5.314,0.86,4,4.652,Achievement,10,10,10,0,1.27,120,40,31.62,1.19,38,31.83,Achievement,72,No Reduction,11/4/2009,FRESENIUS MEDICAL CARE,10/29/2009
FMC SKYWAY,442691,-,783 NEW HIGHWAY 68,-,SWEETWATER,TN,37874,8,6,9%,26,20,218,1%,1,179,Achievement,5,66%,26,167,252,77%,156,203,Achievement,6,6,10,100%,29,227,228,98%,170,174,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,39,1,375,3%,8,289,Achievement,10,0,61,0,2.163,0.584,1,1.714,Achievement,No Score,10,10,10,0.63,39,6,9.48,1.06,11,10.42,Achievement,94,No Reduction,11/4/2009,FRESENIUS MEDICAL CARE,11/5/2009
CAPELVILLE DIALYSIS CENTER,442692,-,7008 E SHELBY DR,-,MEMPHIS,TN,38125,8,8,6%,41,24,383,6%,23,400,Achievement,4,64%,40,266,414,67%,281,420,Achievement,6,6,8,98%,44,389,398,99%,399,404,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,62,6,586,0%,0,546,Achievement,6,0.794,90,3,3.779,0.604,2,3.312,Achievement,10,8,10,4,1.25,62,22,17.59,1.69,25,14.79,Improvement,70,No Reduction,12/10/2009,DAVITA,11/24/2009
FMC MILLINGTON,442693,-,7840 CHURCH STREET,-,MILLINGTON,TN,38053,8,4,13%,33,40,314,9%,28,295,Achievement,10,80%,31,268,333,76%,254,335,Achievement,7,6,5,95%,36,284,300,97%,286,295,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,8,1%,47,3,399,7%,28,406,Achievement,4,1.052,61,3,2.853,0,0,2.572,Achievement,No Score,9,10,0,1.52,63,24,15.76,1.08,15,13.87,Achievement,58,0.50%,2/24/2010,FRESENIUS MEDICAL CARE,2/16/2010
SATELLITE HEALTHCARE OF POPLAR AVENUE LLC,442694,-,1333 POPLAR AVE,-,MEMPHIS,TN,38104,8,3,14%,73,84,591,16%,121,734,Achievement,6,67%,63,415,619,67%,519,775,Achievement,4,6,10,100%,64,514,516,98%,635,648,Achievement,7,87%,45,295,339,95%,211,223,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,189,17,1676,1%,18,1580,Achievement,6,0.726,156,6,8.26,0.442,4,9.043,Achievement,10,10,10,1,1.23,180,53,43.14,1.14,39,34.28,Achievement,66,No Reduction,2/24/2010,NOT A CHAIN,2/24/2010
NRA-MEMPHIS (SOUTH),442695,-,4185 PACE RD,-,MEMPHIS,TN,38116,8,4,13%,70,76,599,10%,60,616,Achievement,6,67%,63,438,656,61%,398,649,Achievement,5,6,8,98%,71,587,596,97%,589,610,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,10,0%,103,2,965,0%,3,924,Achievement,9,0.157,126,1,6.381,0.353,2,5.67,Achievement,10,9,10,3,1.06,76,19,17.84,1.25,25,20.03,Achievement,75,No Reduction,3/24/2010,NOT A CHAIN,5/25/2010
RIPLEY DIALYSIS CENTER,442696,-,854 HWY 51 S,-,RIPLEY,TN,38063,8,5,10%,44,43,431,2%,10,407,Achievement,2,57%,44,262,462,70%,306,439,Achievement,4,6,8,98%,44,420,428,100%,403,404,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,59,6,609,2%,12,553,Achievement,0,2.51,74,8,3.188,1.407,4,2.844,Achievement,10,10,10,2,1.16,56,19,16.41,0.56,6,10.66,Achievement,56,0.50%,5/4/2010,DAVITA,7/20/2010
RAI GALLATIN,442698,-,270 E MAIN STREET,SUITE 100,GALLATIN,TN,37066,8,0,19%,35,51,262,17%,45,260,Achievement,0,52%,30,149,287,64%,184,289,Achievement,0,6,9,99%,36,252,254,97%,261,268,Achievement,10,99%,17,145,147,82%,98,119,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,76,10,608,2%,10,483,Achievement,7,0.419,78,2,4.777,0.773,3,3.881,Achievement,No Score,9,10,0,1.54,93,38,24.61,1.19,32,26.8,Achievement,56,0.50%,6/23/2010,DIVERSIFIED SPECIALTY INSTITUTES (DSI),3/30/2016
NASHVILLE HOME TRAINING DIALYSIS,442699,-,1919 CHARLOTTE AVE,STE 200,NASHVILLE,TN,37203,8,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,99%,67,68,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,7,10,0%,21,1,201,0%,0,132,Achievement,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,10,10,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,100,No Reduction,6/22/2010,DAVITA,3/2/2010
KINGSTON DIALYSIS,442700,-,1208 N KENTUCKY ST,-,KINGSTON,TN,37763,8,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,7,4,3%,24,6,188,4%,8,184,Achievement,10,0,29,0,1.643,2.664,3,1.126,Achievement,No Score,No Score,No Score,4,1.01,24,7,5.38,0.75,2,2.66,Achievement,No Score,No Reduction,7/26/2010,NOT A CHAIN,5/18/2010
FMC EAST MEMPHIS HOME THERAPIES,442701,-,6490 MT. MORIAH EXT,SUITE 201,MEMPHIS,TN,38115,8,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,10,97%,52,371,381,94%,270,286,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,8,1%,81,7,607,2%,8,446,Achievement,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,7,9,0,1.49,47,14,9.37,1.1,7,6.39,Achievement,63,No Reduction,7/23/2010,FRESENIUS MEDICAL CARE,7/8/2010
FMC MT MORIAH DIALYSIS,442702,-,6490 MT MORIAH,SUITE 102,MEMPHIS,TN,38115,8,0,21%,74,130,626,13%,71,567,Achievement,3,59%,67,402,676,69%,418,607,Achievement,1,6,5,95%,80,597,627,93%,537,577,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,8,1%,126,14,1176,2%,21,920,Achievement,6,0.666,167,8,12.02,0.211,2,9.487,Achievement,10,7,10,0,1.48,123,45,30.33,0.9,24,26.53,Achievement,50,0.50%,7/23/2010,FRESENIUS MEDICAL CARE,6/24/2010
FMC BARTLETT,442703,-,3348 N GERMANTOWN RD,-,BARTLETT,TN,38113,8,7,8%,59,43,509,11%,55,505,Achievement,10,79%,57,435,551,74%,420,566,Achievement,8,6,9,99%,62,519,524,95%,496,524,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,3,9%,89,65,732,13%,94,746,Improvement,9,0.199,122,1,5.026,0.649,4,6.166,Achievement,10,10,10,7,0.84,58,12,14.29,1.1,24,21.75,Achievement,81,No Reduction,8/18/2010,FRESENIUS MEDICAL CARE,7/27/2010
MEMPHIS MIDTOWN DIALYSIS,442704,-,3430 SUMMER AVE,-,MEMPHIS,TN,38122,8,4,13%,36,43,319,15%,41,279,Achievement,7,70%,32,236,339,71%,220,312,Achievement,5,6,10,100%,37,311,311,99%,343,346,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,56,0,528,0%,2,432,Achievement,10,0,131,0,3.963,1.568,6,3.827,Achievement,No Score,10,10,1,1.23,52,15,12.2,0.95,10,10.49,Achievement,77,No Reduction,10/18/2010,DAVITA,1/1/2011
RAI LEBANON,442705,-,1701 W. MAIN STREET,SUITE 101,LEBANON,TN,37087,8,0,26%,37,84,322,21%,53,247,Achievement,0,46%,34,160,348,46%,138,297,Achievement,0,6,5,95%,38,265,278,89%,210,236,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,10,0%,56,0,475,2%,5,314,Achievement,6,0.762,68,3,3.935,0.834,3,3.597,Achievement,No Score,10,9,2,1.16,120,35,30.12,0.85,16,18.75,Achievement,55,0.50%,12/8/2010,RENAL ADVANTAGE,3/10/2014
FMC CEDAR BLUFF,442707,-,431 PARK 40 NORTH BLVD,-,KNOXVILLE,TN,37923,8,10,3%,41,10,305,6%,16,290,Achievement,10,79%,36,267,336,73%,245,334,Achievement,10,6,2,92%,42,284,308,93%,272,293,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,2,7,8,1%,57,7,501,4%,17,455,Achievement,6,0.801,74,2,2.498,0.565,2,3.538,Achievement,10,7,10,3,1.11,47,12,10.8,1.11,19,17.19,Achievement,65,No Reduction,1/21/2011,FRESENIUS MEDICAL CARE,10/19/2015
DAVITA SPARTA,442708,-,150 SAM WALTON DR,SUITE 800,SPARTA,TN,38583,8,9,4%,21,5,117,1%,2,155,Achievement,8,73%,17,97,140,78%,128,165,Achievement,9,6,9,99%,22,123,124,99%,146,148,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,35,3,275,1%,2,318,Achievement,6,0.697,45,1,1.434,0,0,1.13,Achievement,No Score,9,10,7,0.83,21,5,4.89,1.13,9,7.99,Achievement,82,No Reduction,12/8/2010,DAVITA,12/9/2010
